input,output,label
随着人口老龄化，我国社保资金面临压力，而本次作为被划转主体的国资，大多具备持续盈利及分红能力，不仅能够有效补充社保基金，更是为社保基金提供了源头活水。,"With the aging of the population, China's social security funds are under pressure. As the main body of the transfer, most of the state-owned assets have the ability to make sustained profits and dividends. They can not only effectively supplement the social security fund, but also provide the source of living water for the social security fund.",0
更多的是关注优越感和自卑感， 被重视和被看不起， 被尊重和被贬低。,"It's more about superiority and inferiority, being valued and despised, respected and devalued.",1
而在此前的24日至25日，北京全市处在高温蓝色预警中，大部地区日最高气温在37℃左右，局地出现超过40℃的高温。,"On the 24th to 25th, Beijing was in a high temperature blue warning, with the daily maximum temperature in most areas around 37 °C, and local temperatures exceeding 40 °C.",0
1967年5月出生的丛培武毕业于外交学院。,"Cong Peiwu, born in May 1967, graduated from the Diplomatic Academy.",1
另外一个关于宇宙的研究项目 有望在未来十年内启动， 这个项目叫LISA。,"Another research project on the universe is expected to start within the next ten years, this project is called LISA.",1
她指出，开展“不忘初心、牢记使命”主题教育是党中央作出的重大部署，各本科高校要深入学习贯彻习近平总书记关于开展“不忘初心、牢记使命”主题教育的重要讲话精神。,"She pointed out that carrying out education on the theme of ""Remember the original intention and remember the mission"" is a major deployment made by the CPC Central Committee. All undergraduate colleges and universities should thoroughly study and implement the spirit of General Secretary Xi Jinping's important speech on carrying out education on the theme of ""Remember the original intention and remember the mission.""",0
比现在主流的显示器厚了不少，还有就是边框宽了点，边框和屏幕的缝隙有点大，不过屏幕显示效果不错，配件齐全,"It is much thicker than the current mainstream monitors, and the frame is a bit wider, and the gap between the frame and the screen is a bit big, but the screen display is good and the accessories are complete",1
中村教授的发明不仅彻底改变了照明行业，更推动产生了如今广泛应用于日常生活和工业生产的白色发光二极管，为人类的福祉做出了巨大的贡献。,"Professor Nakamura's invention not only revolutionized the lighting industry, but also promoted the production of white LEDs that are now widely used in daily life and industrial production, making great contributions to the well-being of human beings.",1
LatCub是100％可生物降解，使用更少的纸，并且不使用对环境有害的胶水或胶带。,"LatCub is 100% biodegradable, with less use of paper, free from glue or tape leading to hazards to the environment.",0
如今，各国在疫情及紧张的经济局势下，长鞭效应愈发突显，引发供应链严重破坏。,"Nowadays, under the epidemic and tense economic conditions in various countries, the long-whip effect has become increasingly prominent, causing severe disruptions to supply chains.",1
“部级领导干部历史文化讲座”20周年精华珍藏版 王春瑜、张大可、熊召政、葛剑雄、邓小南等 14位史学泰斗、文化名家、知名学者献给部级领导干部的公开课,"""Lecture on History and Culture of Leading Cadres at the Ministerial Level"" 20th Anniversary Essence Collector's Edition Wang Chunyu, Zhang Dake, Xiong Zhaozheng, Ge Jianxiong, Deng Xiaonan, and 14 other historians, cultural masters, and well-known scholars dedicated an open class to leading cadres at the ministerial level",0
经典刀剑鉴赏指南金装典藏版【正版图书 无忧售后】,"Classic Sword Appreciation Guide Gold Collection Edition ""Worry-free After-sales of Genuine Books""",0
感谢亲的五星好评哦，爱你么么哒！,"Thank you pro for your five-star praise, oh, how much I love you!",0
"与其上演对手戏的女主角蔡梦是林河保安局科长,深得日本上司福原的赏识,与唐飞之间存在着亦敌亦友、暧昧不清的微妙关系。","Cai Meng, the heroine of the opposite play, is the head of the Linhe Security Bureau, which is deeply appreciated by Japanese boss Fukuhara, and there is an ambiguous and delicate relationship with Tang Fei.",0
其中，电子签为一年多次入境，可以允许旅游者最多停留90天。,"Of these, the electronic visa is a multiple entry visa with one year validity, which allows tourists to stay up to 90 days.",1
市领导崔述强、王红、张家明参加检查。,"City leaders Cui Shuqiang, Wang Hong and Zhang Jiaming participated in the inspection.",1
"在互动交流环节，基层干部代表、企业代表、青年代表就三个历史决议的关系、如何理解“两个确立”的决定性意义、文化企业如何把握导向、新时代青年如何从百年党史中汲取力量等进行了提问，杨浩东以通俗的语言、生动的事例一一解答，他殷殷寄语青年党员，要从党的百年奋斗史中，汲取奋进的力量，紧密团结在党中央周围，坚定不移跟党走,用青春奉献书写责任和担当。","In the interactive exchange session, representatives of grassroots cadres, enterprises and young people asked questions about the relationship between the three historical resolutions, how to understand the decisive significance of the ""two establishment,"" how to grasp the guidance of cultural enterprises, and how young people in the new era can draw strength from the hundred year history of the Party. Yang Haodong answered them one by one in popular language and vivid examples. He addressed young Party members warmly, drawing strength from the hundred year history of the Party's struggle, closely uniting around the Party Central Committee, unswervingly following the Party, and writing responsibility and responsibility with youth dedication.",0
这是减缓海湾合作委员会国家经济增长的因素之一。,This is one of the factors slowing down the economic growth of the Gulf Cooperation Council countries.,1
那么昆虫看到的是什么？,So what do insects see?,1
第二十四条 申请初始注册的，应当自取得一级、二级注册消防工程师资格证书之日起1年内提出申请。,Article 24 An application for initial registration shall be submitted within one year from the date of obtaining the certificate of fire engineer qualification at the first and second level.,1
据导演大鹏介绍 ，《吉祥如意》的创作源自“一场天意 ” ， 拍摄期间家庭突如其来的一系列变故，让原本的拍摄计划不得不随之改变，没有剧本的生活最终被记录成电影，却释放出超越设计的张力。,"According to director Dapeng, the creation of "" Good Luck "" originated from "" a providence. "" A series of sudden changes in the family during the filming forced the original filming plan to be changed. Life without a script was finally recorded as a movie, but the tension beyond design was released.",0
整个拍摄过程要2个小时左右，化妆+拍摄，负责拍摄的摄影师是95后的弟弟呢，感觉稍微还是有点青涩，希望在顾客拍摄动作指导方面以后能给更多的建议呀～挺健谈的，拍摄过程比较愉快。,"The whole shooting process took about 2 hours. Makeup+shooting. The photographer in charge of the shooting was a younger brother after 95. I still felt a bit cynical. I hope I can give more advice on how to guide the customer's shooting movements in the future. It was very talkative, and the shooting process was quite pleasant.",0
它们强度很低，球打到拍子上面，振动非常大，硬球顶不住，高手都很难驾驭。,"Their strength is very low, the ball hits the racket, the vibration is very large, the hard ball cannot stand up, and the master is difficult to control.",1
根据《公平工作法 》 （ Fair Work Act）第772（f）条，王先生的行为表面上构成违反反歧视法和/或对申请人的解雇行为是非法的 。 ”,"According to Article 772 (f) of the Fair Work Act, Mr. Wang's behavior ostensibly constitutes a violation of anti-discrimination laws and/or the dismissal of the applicant is illegal. """,1
这并非巧合。,This is no coincidence.,1
月经期荷尔蒙作祟可能会比较暴躁，排卵期也会因为体内激素变化情绪不稳定，就是很倒霉，身体给自己使绊子。,"Hormonal problems during menstruation may be more irritable, and ovulation period will also be unstable due to hormone changes in the body, which is unfortunate, and the body will make mistakes for itself.",1
你送不到，怎么不早点讲啊,You can't deliver it. Why didn't you tell me earlier?,1
对于国有资本中的上市资产而言，社保基金参与持股，将进一步优化上市企业法人治理结构，有利于提升企业经营水平，对上市公司和资本市场产生积极正面的影响。,"For listed assets in state-owned capital, the participation of social security funds in shareholding will further optimize the corporate governance structure of listed companies, which will help improve the level of corporate operations and have a positive impact on listed companies and the capital market.",1
(七)以个人署名且公开发表(以正式刊号为准)的工程造价相关专业论文、著作。,(7) Professional papers and works concerning engineering cost that are signed by an individual and are published publicly (subject to the official publication number).,0
法国南特教堂大火：教区志愿者承认纵火 平时和善寡言-中新网,"France Nantes church fire: parish volunteer admits to arson, usually kind and reticent - CNN",0
刚上任的德国总理肖尔茨也参加了视频民主峰会,"Scholz, the Chancellor of Germany who had just took the post, was also invited to the video democratic summit.",1
活动现场设置了长沙、株洲、湘潭展馆和湖南自贸试验区展馆，省科技厅、省工信厅、省人社厅发布了先进制造相关产业科技创新重点需求清单、智能制造产业人才需求目录、博士后流动站智能制造产业青年人才需求目录。,"At the event, Changsha, Zhuzhou, Xiangtan pavilion and Hunan Pilot Free Trade Zone pavilion were set up. The Provincial Department of Science and Technology, the Provincial Department of Industry and Information Technology and the Provincial Department of Human Resources and Social Security released the list of key demands for science and technology innovation in advanced manufacturing-related industries, the directory of intelligent manufacturing industry talent demand and the directory of intelligent manufacturing industry youth talent demand for postdoctoral mobile stations.",1
传统托盘比赛在同日下午举行，云集接近180名参赛者，分别代表澳门逾29间酒店及餐厅等，适逢今年为澳门特别行政区成立二十周年，参赛者在出发前于大三巴牌坊排成数字“20”大合照，为活动增添喜悦。,"The traditional Tray Race kicked-off in the afternoon with nearly 180 participants representing more than 29 hotels, restaurants, and other entities in Macau; as this year marks the 20th Anniversary of the Establishment of the Macao Special Administrative Region, contestants lined up to form the number ""20"" in front of the Ruins of St. Paul for a group photo before the start of the Race, adding joy to the celebratory occasion.",1
弘扬伟大建党精神，坚持稳中求进工作总基调，完整、准确、全面贯彻新发展理念，加快构建新发展格局，全面深化改革开放，坚持创新驱动发展，推动高质量发展，坚持以供给侧结构性改革为主线，统筹疫情防控和经济社会发展，统筹发展和安全，继续做好“六稳 ” 、 “六保”工作，持续改善民生，着力稳定宏观经济大盘，保持经济运行在合理区间，保持社会大局稳定，我们就一定能保持平稳健康的经济环境、国泰民安的社会环境、风清气正的政治环境，以优异成绩迎接党的二十大胜利召开。,"Carry forward the great spirit of Party building, adhere to the general tone of steady progress, complete, accurate and comprehensive implementation of the new development concept, accelerate the construction of a new development pattern, deepen reform and opening up in an all-round way, adhere to innovation-driven development, promote high-quality development, adhere to supply-side structural reform as the main line, coordinate epidemic prevention and control and economic and social development, coordinate development and security, continue to do a good job in the “six stabilizations” and “six guarantees”, continue to improve people's livelihood, focus on stabilizing the macro-economic market, maintaining economic operation in a reasonable range, and maintaining the overall stability of society, we will definitely be able to maintain a stable and healthy economic environment, a peaceful and peaceful social environment, and a clean air. In a positive political environment, the Party's 20th Great Victory was greeted with outstanding results.",0
支付宝数据显示，“90后”有为目标攒钱的习惯，将旅行作为攒钱目标的用户最多。,"Alipay data shows that “post-90s” have the habit of saving money for their goals, and the most users make travel as their goal to save money.",0
9月20日，财政部、人社部、国资委、税务总局、证监会联合发布《关于全面推开划转部分国有资本充实社保基金工作的通知 》 ， 明确国资划转社保基金时间表，即中央和地方划转部分国有资本充实社保基金工作于2019年全面推开。,"On September 20, the Ministry of Finance, the Ministry of Human Resources and Social Security, the State-owned Assets Supervision and Administration Commission, the State Administration of Taxation, and the China Securities Regulatory Commission jointly issued the Notice on Comprehensively Implementing the Work of Transferring a Portion of State-owned Capital to Enrich Social Security Funds to clarify the schedule of transferring state-owned assets to social security funds, that is, the central and local governments transfer of a portion of state-owned capital to enrich the social security fund would be fully implemented in 2019.",0
发言人表示，中国政府是网络安全的坚定维护者，一贯坚决反对并打击任何形式的网络攻击和网络犯罪。,The spokesman said that the Chinese government is a staunch defender of cyber security and has always resolutely opposed and cracked down on any form of cyber attacks and cyber crimes.,1
该行动将走进全国20多个省、自治区、直辖市的脱贫村，挖掘鲜活脱贫故事，直击村容村貌巨变，展现村民如何突破生存发展困境、走向致富之路的历程。,"This action will go into poverty alleviation villages in more than 20 provinces, autonomous regions, and municipalities across the country, dig out living poverty alleviation stories, directly attack the dramatic changes in the appearance of the village, and show how villagers can break through the dilemma of survival and development and move towards the road to wealth.",0
另外一个关于宇宙的研究项目 有望在未来十年内启动， 这个项目叫LISA。,"There's another cosmic research project that's expected to start in the next decade, and it's called LISA.",1
当前，北京首都国际机场已是超负荷运转状态，去年承运了1亿+旅客，成为继美国亚特兰大机场后，全球第二个年旅客吞吐量过亿人次的机场。,"At present, Beijing Capital International Airport is already overstretched. Last year, it carried 100 million + passengers, making it the second airport in the world to handle more than 100 million passengers a year after Atlanta Airport in the United States.",1
这朵花 实际上闻起来非常难闻 再提一次，这是进化而来， 它看起来像是腐肉。,"This flower actually smells very bad Again, it's evolved, and it looks like rotten meat.",0
图伊奥内托阿当选汤加新首相。,Tui Onetoa was elected as the new Prime Minister of Tonga.,1
正如视频所说，美式“反恐”战争“越反越恐 ” 。,"As the video says, the American ""anti-terrorism"" war is ""more anti-terrorism"".",0
今年8月8日，公司发布《塞力斯2019年限制性股票激励计划（草案 ） 》 公告，并设置了很高的业绩解锁条件。,"On August 8 this year, the company issued the ""Selis 2019 Restricted Stock Incentive Plan (Draft)"" announcement, and set high performance unlocking conditions.",0
星空有约丨双子座流星雨14日迎来极大-新华网,Starry Sky Date丨The Geminid Meteor Welcomes Great Shower on the 14th -Xinhuanet,0
第二，激光电视更聚焦高端市场。,"Second, the laser TV more focused on high-end market.",1
其中，卫生填埋329.29万吨，焚烧209.23万吨，采取综合利用工艺处理8.01万吨。,"Among them, the sanitary landfill was 3.292 million tons, the incineration was 2.0923 million tons, and the comprehensive utilization process was used to process 80,100 tons.",0
你的骑手去了哪里,where did your rider go,1
为了给市场讲出新的故事，扎克伯格讲了 “元宇宙”.,"In order to tell the market a new story, Zuckerberg talked about the ""meta-universe"".",0
在左边你能看到一个小船。,On the left you can see a small boat.,1
他很高兴看到澳门及大湾区的医药事业树立了一个良好的典范：从澳大建立的第一个中药质量研究国家重点实验室到大湾区中医药的蓬勃发展，澳大在整合大湾区中医药领域优秀人才中贡献了巨大作用。,"He is pleased to see that the medical industry in Macau and the Greater Bay Area has set a good example: from the first State Key Laboratory of Quality Research on Chinese Medicines established at UM to the vigorous development of traditional Chinese medicine in the Greater Bay Area, UM has played a huge role in integrating outstanding talents in the field of Traditional Chinese Medicine in the Greater Bay Area.",1
美学是以对美的本质及其意义的研究为主题的学科。,Aesthetics is a science that’s the subject of research into the nature and meaning of beauty.,1
现在我们认为 大多数传粉者是昆虫， 但实际上在热带地区， 许多鸟类和蝴蝶也进行传粉。,"Now we think that most pollinators are insects, but in fact in the tropics, many birds and butterflies also pollinate.",0
除了情节外，更糟糕的是电影的主旨，或者说这电影根本没有主旨，就是一个面目可憎的缝合怪。,"In addition to the plot, what's worse is the theme of the film, or the fact that the film has no theme at all, is an abominable stitch.",0
连连赞叹三文鱼拌牛油果的沙拉做的好吃，然后就去卧室躺在床上看电视了。,"He said that the salmon with avocado salad was quite delicious, and then went to the bedroom lying on the bed watching TV.",1
这种探测并不只限于黑洞， 它还能用来探测宇宙中任何大的扰动 - 其中最大的扰动要数“宇宙大爆炸”了。,"This detection is not limited to black holes, but can be used to detect any large disturbance in the universe - the largest of which is the ""Big Bang"".",0
上首页了，也来看看Queenie吧~,"On the home page, let's take a look at Queenie",1
新华社武汉12月11日电（记者王贤）重庆市涪陵水上绿色综合服务区10日如期建成投入运营，这是继8日四川省泸州水上绿色综合服务区挂牌运营后，长江上游正式运营的第2个水上绿色综合服务区。,"Xinhua News Agency, Wuhan, December 11 (Reporter Wang Xian) Fuling water green comprehensive service area in Chongqing city was completed and put into operation as scheduled on the 10th. This is the second water green comprehensive service area formally operated in the upper reaches of the Yangtze River following the listing of Luzhou Water Green Comprehensive Service Area in Sichuan Province on the 8th.",0
国务院新闻办公室发布《新时代的中国与世界》白皮书,"Information Office of the State Council Releases White Paper on ""China and the World in a New Era""",0
【服务】很热情，也很细心。,【Service】Very friendly and attentive,0
Wang先生于今年4月通过短信解雇了Ayton女士，后来称这是由于她缺勤以及据称收银机出现从$ 5.10到$ 30的少量现金缺失。,"Mr Wang sacked Ms Ayton via text message in April this year, later claiming it was due to her ­absences from work and alleged minor cash shortages ranging from $5.10 to $30 from the cash register.",0
Meta（原 Facebook）实质是一家广告公司，收入主要来自于广告，今时今日赚钱的广告公司，自己是有流量渠道的。,Meta (formerly Facebook) is essentially an advertising company whose revenue comes mainly from advertising. The advertising companies that make money today have their own traffic channels.,1
在园内的垃圾投放处还设置了可分类垃圾桶，上面标注了投放类别。,"Classifiable trash cans are also set up at the garbage drop place in the garden, which are marked with the type of drop.",0
受中美关系紧张情势进一步升高影响，离岸、在岸人民币对美元汇率22日盘中一度大贬，双双跌破1美元兑人民币7.0元关口。,"Affected by the increased tension in Sino-US relations, the offshore and onshore RMB exchange rates against the US dollar fell sharply on the 22nd, and both fell below the US$1 to RMB 7.0 mark.",1
[全新]一本关于颜色的黑书 彭懿精装插图3到6岁儿童绘本图画书博洛尼亚获 入选新阅读基础目录 学前幼儿读物 接力出版社正版,[New] A Black Book About Color Peng Yi Hardcover Illustration 3 to 6 Years Old Children's Picture Book Picture Book Bologna Selected as a New Reading Basic Catalog Preschool Children's Books Relay Publishing House Genuine,0
据了解，中国儿童中心今年“六一”儿童节期间举办的活动包括“爱家创酷”儿童未来学习嘉年华、首届儿童视觉艺术节 、 “ 书香嘉年华”活动 、 “ 全家爱阅读”绘本系列活动等。,"It is understood that the activities held by China Children's Center during Children's Day this year include ""Love Family and Create Cool"" Children's Future Learning Carnival, the first Children's Visual Art Festival, ""Scholarly Carnival"" activities, ""Family Love Reading"" picture book series activities, etc.",1
她还表示，过去几个月香港社会争议不断，每一个香港人都受到影响，新闻工作者亦面对不同挑战。,"She also said that in the past few months, there have been constant social disputes in Hong Kong, every Hong Kong person has been affected, and journalists have also faced different challenges.",1
我认为这些我向各位展示的项目 仅仅是迈向未来的一小步， 如果我们为一个新的自我组装的世界 实现了这些新技术的话。,I think these projects that I present to you are just a small step towards the future if we implement these new technologies for a new self-assembling world.,1
井壁墙体模块机械自动控制和手动控制双重功能。,The well wall module has dual functions of mechanical automatic control and manual control.,1
ST Engineering Aerospace公司总裁Lim Serh Ghee表示，越航与ST Engineering共享丰富经验，将有助于联营公司能够提供国际级保养与维修服务，为保障各家航空公司的飞行安全做出贡献。,"Lim Serh Ghee, President of ST Engineering Aerospace, said that the sharing of rich experience between Vietnam Airlines and ST Engineering will help the associated companies to provide international-class maintenance and repair services and contribute to ensuring the flight safety of all airlines.",0
上日人民币兑美元即期收报7.1315元，而中间价则为7.0729元。,"Last day, the RMB closed at 7.1315 yuan against the US dollar, while the median price was 7.0729 yuan.",0
相关成果已作为国际期刊《温室气体：科学与技术》封面文章发表。,"Related achievements have been published as cover articles in the international journal ""Greenhouse Gases: Science and Technology"".",1
迪赛哈说，暹粒省与中国各省市的友好交往引人注目，迄今与中国28个省市缔结友城关系，大型文化演艺项目《吴哥微笑》和《吴哥王朝》落地，暹粒-广西农业示范园、暹粒新国际机场项目、暹粒省政府官员专项培训班、暹粒学子赴华留学奖学金、乡村义诊、兴修改造市区道路、白内障复明公益项目“光明行”等合作硕果累累，在柬中友好合作中，暹粒人民成了直接受益者。,"Di Saiha said that the friendly exchanges between Siem Reap and Chinese provinces and cities have attracted attention. So far, it has established friendship cities with 28 provinces and cities in China. The large-scale cultural performance projects ""Angkor Smile"" and ""Angkor Dynasty"" have landed in Siem Reap. -Guangxi Agricultural Demonstration Park, Siem Reap New International Airport Project, Siem Reap Provincial Government Official Special Training Course, Scholarship for Siem Reap Students to Study in China, Rural Free Clinic, Rural Road Reconstruction, Cataract Rehabilitation Public Welfare Project ""Guang Ming Xing"", etc. Over time, in the Cambodia-China friendly cooperation, the people of Siem Reap have become direct beneficiaries.",0
“因为经济已经被他搞到一塌糊涂，加上普遍实施政治压迫，塞西试图对可能取而代之的重要将领和政治人物传达清楚讯息 。 ”,"""Because he has ruined the economy and faces widespread political oppression, Sisi is trying to send a clear message to the important generals and politicians who may replace him. """,0
设计，无处不在（小译林中小学阅读丛书 名师导读图文并茂 《中小学生阅读指导目录》推荐）,"Design, everywhere",1
5月23日，区教育招生考试中心网上公示考查通过的学生名单，学生可在网上查询考查结果。,"On May 23, the District Education Admissions and Testing Center will announce the list of students who have passed the exam online.",0
此次重大地质灾害，无一人伤亡。,No one was killed or injured in this major geological disaster.,1
感谢那些默默给我点赞的人 ，为了生活努力拼搏 生活很累但要继续,"Thanks to those who silently praise me, work hard for life, life is tired, but I have to continue",1
