input,output,label
J. Gillespie st Kaluwitharana b Chandana 6,"[{""text"": "". Gillespie"", ""type"": ""PER""}, {""text"": ""Chandana"", ""type"": ""PER""}, {""text"": ""J"", ""type"": ""PER""}, {""text"": ""Kaluwitharana"", ""type"": ""PER""}]",0
LONDON 1996-08-30,"[{""text"": ""LONDON"", ""type"": ""LOC""}]",1
Polish Foreign Minister to visit Yugoslavia .,"[{""text"": ""Yugoslavia"", ""type"": ""LOC""}, {""text"": ""Polish"", ""type"": ""MISC""}]",1
DNIB also set a 110 million guilder step-up bond .,"[{""text"": ""DNIB"", ""type"": ""ORG""}]",1
"Henke had a bogey-free round and birdied four holes , including a 45-footer on the par-three 215-yard seventh hole and one from 12 feet out on the 12th hole .","[{""text"": ""##nk"", ""type"": ""PER""}, {""text"": ""He"", ""type"": ""PER""}]",0
287 Ian Woosnam 70 76 71 70,"[{""text"": ""Ian Woosnam"", ""type"": ""PER""}]",1
"LA CORUNA , Spain 1996-08-31","[{""text"": ""LA CORUNA"", ""type"": ""LOC""}, {""text"": ""Spain"", ""type"": ""LOC""}]",1
ST LOUIS 70 65 .519 2 1/2,"[{""text"": ""ST LOUIS"", ""type"": ""ORG""}]",1
a six-test series against England during a four-month tour,"[{""text"": ""England"", ""type"": ""LOC""}]",1
"Gains in personal income , which includes wages and salaries as well as income from sources such as dividends , interest and businesses , are essential for funding consumer purchases , which fuel two-thirds of national economic activity .",[],1
Apic Yamada - 6mth parent forecast .,"[{""text"": ""A"", ""type"": ""ORG""}, {""text"": ""Yamada"", ""type"": ""ORG""}]",0
"North Korea demanded on Saturday that South Korea return a northern war veteran who has been in the South since the 1950-53 war , Seoul 's unification ministry said .","[{""text"": ""North Korea"", ""type"": ""LOC""}, {""text"": ""Seoul"", ""type"": ""LOC""}, {""text"": ""South"", ""type"": ""LOC""}, {""text"": ""South Korea"", ""type"": ""LOC""}]",1
Deborah Charles,"[{""text"": ""Deborah Charles"", ""type"": ""PER""}]",1
WASHINGTON 1996-08-30,"[{""text"": ""WASHINGTON"", ""type"": ""LOC""}]",1
3. Sammy Langat ( Kenya ) 1:44.96,"[{""text"": ""Kenya"", ""type"": ""LOC""}, {""text"": ""."", ""type"": ""PER""}, {""text"": ""Sammy Langat"", ""type"": ""PER""}]",0
"2004 75,000",[],1
Shrewsbury 4 2 1 1 6 6 7,"[{""text"": ""Shrewsbury"", ""type"": ""ORG""}]",1
"Add women 's singles , third round",[],1
"We know many of the people who live in Barentsburg , some of them could have been on the plane , "" said Johan Sletten , 52 .","[{""text"": ""Barentsburg"", ""type"": ""LOC""}, {""text"": ""Johan Sletten"", ""type"": ""PER""}]",1
"While July consumer spending rose only slightly , there were ample indications that consumers remained confident .",[],1
"Suu Kyi said at least 61 democracy supporters had been arrested since May , and about 30 of them had been sentenced , most to long prison terms .","[{""text"": ""Suu Kyi"", ""type"": ""PER""}]",1
"Women 's singles , third round",[],1
"Add Men 's singles , second round 16 - Cedric Pioline ( France ) beat Roberto Carretero ( Spain ) 4-6 6 - 2 6-2 6-1 Alex Corretja ( Spain ) beat Filippo Veglio ( Switzerland ) 6-7 ( 4- 7 ) 6-4 6-4 6-0","[{""text"": ""France"", ""type"": ""LOC""}, {""text"": ""Spain"", ""type"": ""LOC""}, {""text"": ""Spain"", ""type"": ""LOC""}, {""text"": ""Switzerland"", ""type"": ""LOC""}, {""text"": ""##dric Pioline"", ""type"": ""PER""}, {""text"": ""##lippo Veglio"", ""type"": ""PER""}, {""text"": ""Alex Corretja"", ""type"": ""PER""}, {""text"": ""Ce"", ""type"": ""PER""}, {""text"": ""Fi"", ""type"": ""PER""}, {""text"": ""Roberto Carretero"", ""type"": ""PER""}]",0
"Trailing by 213 , Somerset got a solid start to their second innings before Simmons stepped in to bundle them out for 174 .","[{""text"": ""Somerset"", ""type"": ""ORG""}, {""text"": ""Simmons"", ""type"": ""PER""}]",1
"The Bosnian government radio broadcast said U.S. Assistant Secretary of State John Kornblum had reassured SDA officials , including presumably its leader , Bosnian President Alija Izetbegovic , whom he met during a Friday visit .","[{""text"": ""U. S."", ""type"": ""LOC""}, {""text"": ""Bosnian"", ""type"": ""MISC""}, {""text"": ""Bosnian"", ""type"": ""MISC""}, {""text"": ""SDA"", ""type"": ""ORG""}, {""text"": ""Alija Izetbegovic"", ""type"": ""PER""}, {""text"": ""John Kornblum"", ""type"": ""PER""}]",0
Chechens exuberant but cautious on peace deal .,"[{""text"": ""##echens"", ""type"": ""MISC""}, {""text"": ""Ch"", ""type"": ""MISC""}]",0
MINNESOTA 67 67 .500 13 1/2,"[{""text"": ""MINNESOTA"", ""type"": ""ORG""}]",1
""" That 's where the match sort of changed , "" said Edberg . ""","[{""text"": ""Edberg"", ""type"": ""PER""}]",1
WESTERN DIVISION,"[{""text"": ""##ESTERN DIVISION"", ""type"": ""MISC""}, {""text"": ""W"", ""type"": ""MISC""}]",0
COLORADO 70 65 .519 5,"[{""text"": ""COLORADO"", ""type"": ""ORG""}]",1
Pohang 2 1 1 11 10 7,"[{""text"": ""Pohang"", ""type"": ""ORG""}]",1
PHNOM PENH 1996-08-30,"[{""text"": ""PHNOM PENH"", ""type"": ""LOC""}]",1
"Suu Kyi said once the activists were sentenced , they suffered inhuman conditions and lack of rights in prison .","[{""text"": ""##u Kyi"", ""type"": ""PER""}, {""text"": ""Su"", ""type"": ""PER""}]",0
Continued dishoarding of kilo-bars by Indonesian sources ahead of next year 's presidential election has also kept a lid on premiums .,"[{""text"": ""Indonesian"", ""type"": ""MISC""}]",1
WASHINGTON 1996-08-30,"[{""text"": ""WASHINGTON"", ""type"": ""LOC""}]",1
"The partners will invest around $ 30 million in the existing copper cable plant at Wuxi to update technology and include optic fibre production , with annual turnover expected to reach $ 60 million within the next few years .","[{""text"": ""Wuxi"", ""type"": ""LOC""}]",1
Preston 4 1 1 2 4 5 4,"[{""text"": ""Preston"", ""type"": ""ORG""}]",1
"Men 's singles , third round 13 - Thomas Enqvist ( Sweden ) beat Pablo Campana ( Ecuador ) 6-4 6-4 6-2","[{""text"": ""Ecuador"", ""type"": ""LOC""}, {""text"": ""Sweden"", ""type"": ""LOC""}, {""text"": ""Pablo Campana"", ""type"": ""PER""}, {""text"": ""Thomas Enqvist"", ""type"": ""PER""}]",1
SOCCER - WALES BEAT SAN MARINO IN WORLD CUP QUALIFIER .,"[{""text"": ""SAN MARINO"", ""type"": ""LOC""}, {""text"": ""WA"", ""type"": ""LOC""}, {""text"": ""WORLD CUP"", ""type"": ""MISC""}]",0
COLOMBO 1996-08-30,"[{""text"": ""##LOMBO"", ""type"": ""LOC""}, {""text"": ""CO"", ""type"": ""LOC""}]",0
"Granma called "" Sleeping Bread "" Puig 's "" greatest gift to the modern novel in our America . ""","[{""text"": ""America"", ""type"": ""LOC""}, {""text"": ""Sleeping Bread"", ""type"": ""MISC""}, {""text"": ""Granma"", ""type"": ""ORG""}, {""text"": ""Pui"", ""type"": ""PER""}]",0
Men 's triple jump,[],1
"won , drawn , lost , winning percentage , games behind first place )",[],1
BAGHDAD 1996-08-31,"[{""text"": ""BAGHDAD"", ""type"": ""LOC""}]",1
"Urus-Martan is a traditionally anti-separatist pocket in Chechnya and Moscow-backed leader Doku Zavgayev , who has been sidelined in the peace deal , has warned that it and places like it could become centres of civil war if Russian troops leave .","[{""text"": ""Chechnya"", ""type"": ""LOC""}, {""text"": ""Martan"", ""type"": ""LOC""}, {""text"": ""Urus"", ""type"": ""LOC""}, {""text"": ""Moscow"", ""type"": ""MISC""}, {""text"": ""Russian"", ""type"": ""MISC""}, {""text"": ""Doku Zavgayev"", ""type"": ""PER""}]",0
Another plane had been sent from Moscow to pick them up .,"[{""text"": ""Moscow"", ""type"": ""LOC""}]",1
Mark Philippoussis ( Australia ) beat Andrei Olhovskiy ( Russia ) 6 - 3 6-4 6-2,"[{""text"": ""Australia"", ""type"": ""LOC""}, {""text"": ""Russia"", ""type"": ""LOC""}, {""text"": ""Andrei Olhovskiy"", ""type"": ""PER""}, {""text"": ""Mark Philippoussis"", ""type"": ""PER""}]",1
"Ready copper fell by 150 rupees at 12,350 rupees per quintal on fresh offerings by the stockists who expect Hindustan Copper to cut prices .","[{""text"": ""Hindustan Copper"", ""type"": ""ORG""}]",1
Partick 1 St Mirren 1,"[{""text"": ""Partick"", ""type"": ""ORG""}, {""text"": ""St Mirren"", ""type"": ""ORG""}]",1
England beat Pakistan by 107 runs in the second one-day international at Edgbaston on Saturday to take the series 2-0 .,"[{""text"": ""Edgbaston"", ""type"": ""LOC""}, {""text"": ""England"", ""type"": ""LOC""}, {""text"": ""Pakistan"", ""type"": ""LOC""}]",1
BASEBALL - RESULTS OF S. KOREAN PROFESSIONAL GAMES .,"[{""text"": ""S. KOREAN"", ""type"": ""MISC""}]",1
It was my best round in a very long time .,[],1
"Bowling : S. Waugh 5-1-36-1 , Law 2-0-23-0 , McGrath 9.5-0-44-1 ,","[{""text"": "". Waugh"", ""type"": ""PER""}, {""text"": ""Law"", ""type"": ""PER""}, {""text"": ""McGrath"", ""type"": ""PER""}, {""text"": ""S"", ""type"": ""PER""}]",0
4. Yvonne McGregor ( Britain ) 3:41.823,"[{""text"": ""Britain"", ""type"": ""LOC""}, {""text"": ""."", ""type"": ""PER""}, {""text"": ""Yvonne McGregor"", ""type"": ""PER""}]",0
"Hove : Sussex 363 ( W. Athey 111 , V. Drakes 52 ; I. Austin 4-37 ) , Lancashire 197-8 ( W. Hegg 54 )","[{""text"": ""Hove"", ""type"": ""LOC""}, {""text"": ""Lancashire"", ""type"": ""ORG""}, {""text"": ""Sussex"", ""type"": ""ORG""}, {""text"": "". Athey"", ""type"": ""PER""}, {""text"": "". Austin"", ""type"": ""PER""}, {""text"": "". Drakes"", ""type"": ""PER""}, {""text"": "". Hegg"", ""type"": ""PER""}, {""text"": ""I"", ""type"": ""PER""}, {""text"": ""V"", ""type"": ""PER""}, {""text"": ""W"", ""type"": ""PER""}, {""text"": ""W"", ""type"": ""PER""}]",0
""" He 's always complaining too much , "" said Rios . ""","[{""text"": ""Rio"", ""type"": ""PER""}]",0
Everton 's Duncan Ferguson went close for Scotland in the 65th minute when he forced Austrian goalkeeper Michael Konsel to a diving save .,"[{""text"": ""Scotland"", ""type"": ""LOC""}, {""text"": ""Austrian"", ""type"": ""MISC""}, {""text"": ""Everton"", ""type"": ""ORG""}, {""text"": ""Duncan Ferguson"", ""type"": ""PER""}, {""text"": ""Michael Konsel"", ""type"": ""PER""}]",1
Mladost ( L ) 4 2 1 1 8 5 7,"[{""text"": ""Mladost ( L )"", ""type"": ""ORG""}]",1
Austria 's best chance came in the 63rd minute with Stephan Marasek of SC Freiburg taking advantage of a scramble in the Scottish penalty area but his shot narrowly passing the left-hand post .,"[{""text"": ""Austria"", ""type"": ""LOC""}, {""text"": ""Scottish"", ""type"": ""MISC""}, {""text"": ""SC Freiburg"", ""type"": ""ORG""}, {""text"": ""Stephan Marasek"", ""type"": ""PER""}]",1
MILAN 1996-08-30,"[{""text"": ""MILAN"", ""type"": ""LOC""}]",1
"Administration officials said they want to get the issue resolved as quickly as possible , but said there is no timetable they are working under .",[],1
""" We started panicking a bit after the Turkish goal ...","[{""text"": ""Turkish"", ""type"": ""MISC""}]",1
World Markets Overnight Summary - Aug 30 .,"[{""text"": ""World Markets"", ""type"": ""MISC""}]",0
Women 's 100 metres hurdles,[],1
Armenia and Portugal drew 0-0 in a World Cup soccer European group 9 qualifier on Saturday .,"[{""text"": ""Armenia"", ""type"": ""LOC""}, {""text"": ""Portugal"", ""type"": ""LOC""}, {""text"": ""European"", ""type"": ""MISC""}, {""text"": ""World Cup"", ""type"": ""MISC""}]",1
Poland is seeking pacts on avoiding double taxation and wants cooperation in fighting crime .,"[{""text"": ""Poland"", ""type"": ""LOC""}]",1
7. John Mayock ( Britain ) 3:54.67,"[{""text"": ""Britain"", ""type"": ""LOC""}, {""text"": ""."", ""type"": ""PER""}, {""text"": ""John Mayock"", ""type"": ""PER""}]",0
Mexican growers and distributors would have to abide by strict rules established by the Mexican and U.S. agriculture agencies .,"[{""text"": ""U. S."", ""type"": ""LOC""}, {""text"": ""Mexican"", ""type"": ""MISC""}, {""text"": ""Mexican"", ""type"": ""MISC""}]",0
Women 's high jump,[],1
"Mouldi Mamatuyev , in his late 20 's , dressed in black and carrying a machine gun , was welcomed by his mother and sister .","[{""text"": ""##uldi Mamatuyev"", ""type"": ""PER""}, {""text"": ""Mo"", ""type"": ""PER""}]",0
York 4 2 0 2 6 6 6,"[{""text"": ""York"", ""type"": ""ORG""}]",1
""" My message is that the fundamental strategy of the company , its fundamental market position has not changed . """,[],1
"I think I played very well tonight , very focused . """,[],1
""" I am heeding Abu Ammar 's ( Arafat 's ) call to pray at al-Aqsa and I came .","[{""text"": ""al - Aqsa"", ""type"": ""LOC""}, {""text"": ""Abu Ammar"", ""type"": ""PER""}, {""text"": ""Arafat"", ""type"": ""PER""}]",0
Brighton 1 Scunthorpe 1,"[{""text"": ""Brighton"", ""type"": ""ORG""}, {""text"": ""Scunthorpe"", ""type"": ""ORG""}]",1
August,[],1
Australia,"[{""text"": ""Australia"", ""type"": ""LOC""}]",1
SEOUL 1996-08-30,"[{""text"": ""##L"", ""type"": ""LOC""}, {""text"": ""##U"", ""type"": ""LOC""}, {""text"": ""SEO"", ""type"": ""LOC""}]",0
Next week Kansai Electric Power and Kansai International Airport are likely to launch 10-year dollar deals .,"[{""text"": ""##ns"", ""type"": ""LOC""}, {""text"": ""##nsai International Airport"", ""type"": ""LOC""}, {""text"": ""Ka"", ""type"": ""LOC""}, {""text"": ""##ai Electric Power"", ""type"": ""ORG""}, {""text"": ""Ka"", ""type"": ""ORG""}]",0
"He added that the OSCE was the only international body which has been allowed into the Chechnya to monitor the human rights situation there , but that its means were restricted by the fact that the conflict was a "" internal issue "" .","[{""text"": ""Chechnya"", ""type"": ""LOC""}, {""text"": ""OSCE"", ""type"": ""ORG""}]",1
"Our mission in Chechnya has done all it can within the given limitations . ""","[{""text"": ""Chechnya"", ""type"": ""LOC""}]",1
1. Tanja Damaske ( Germany ) 66.60 metres,"[{""text"": ""Germany"", ""type"": ""LOC""}, {""text"": ""##ja Damaske"", ""type"": ""PER""}, {""text"": ""."", ""type"": ""PER""}, {""text"": ""Tan"", ""type"": ""PER""}]",0
"The Iraqis claimed they were "" ordinary people persecuted by the regime of Saddam ( Hussein ) "" but interior ministry officials had consistently said it was likely the seven would be charged with hijack before any plea for asylum was considered .","[{""text"": ""Iraqi"", ""type"": ""MISC""}, {""text"": ""interior ministry"", ""type"": ""ORG""}, {""text"": ""Hussein"", ""type"": ""PER""}, {""text"": ""Saddam"", ""type"": ""PER""}]",0
BASKETBALL - BENETTON BEAT DINAMO 92-81 .,"[{""text"": ""##O"", ""type"": ""LOC""}, {""text"": ""D"", ""type"": ""LOC""}, {""text"": ""##ENETTON"", ""type"": ""ORG""}, {""text"": ""##INAM"", ""type"": ""ORG""}, {""text"": ""B"", ""type"": ""ORG""}]",0
3. Michelle Ferris ( Australia ) 35.694,"[{""text"": ""Australia"", ""type"": ""LOC""}, {""text"": ""."", ""type"": ""PER""}, {""text"": ""Michelle Ferris"", ""type"": ""PER""}]",0
ST LOUIS 69 65 .515 2 1/2,"[{""text"": ""ST LOUIS"", ""type"": ""ORG""}]",1
""" It 's not ready yet .",[],1
"Brokers said blue chips like IDLC , Bangladesh Lamps , Chittagong Cement and Atlas Bangladesh were expected to rise .","[{""text"": ""Atlas Bangladesh"", ""type"": ""ORG""}, {""text"": ""Bangladesh Lamps"", ""type"": ""ORG""}, {""text"": ""Chittagong Cement"", ""type"": ""ORG""}, {""text"": ""IDLC"", ""type"": ""ORG""}]",1
"1986 - Bishop Desmond Tutu was enthroned as Archbishop of Cape Town , South Africa .","[{""text"": ""Cape Town"", ""type"": ""LOC""}, {""text"": ""South Africa"", ""type"": ""LOC""}, {""text"": ""Desmond Tutu"", ""type"": ""PER""}]",1
Australia won the toss and,"[{""text"": ""Australia"", ""type"": ""LOC""}]",1
"September heating oil on the New York Mercantile Exchange closed 1.63 cents higher at 63.67 cents a gallon , September unleaded gasoline finished 1.39 cents up at 63.72 cents a gallon and October crude rose 44 cents to $ 22.15 a barrel .","[{""text"": ""New York Mercantile Exchange"", ""type"": ""ORG""}]",1
Men 's 800 metres,[],1
SOCCER - IRISH ERASE PAINFUL MEMORIES WITH 5-0 WIN .,"[{""text"": ""IRIS"", ""type"": ""ORG""}]",0
British Labour Party leader Tony Blair won a narrow victory on Saturday when the party 's Scottish executive voted 21-18 in favour of his plans for a referendum on a separate parliament for Scotland .,"[{""text"": ""Scotland"", ""type"": ""LOC""}, {""text"": ""Scottish"", ""type"": ""MISC""}, {""text"": ""British Labour Party"", ""type"": ""ORG""}, {""text"": ""Tony Blair"", ""type"": ""PER""}]",1
EASTERN DIVISION,"[{""text"": ""EASTERN DIVISION"", ""type"": ""MISC""}]",1
"6-0-26-0 , Bevan 4-0-18-0 .","[{""text"": ""Be"", ""type"": ""PER""}]",0
Cofinec said Petofi general manager Laszlo Sebesvari had submitted his resignation and will be leaving Petofi but will remain on Petofi 's board of directors .,"[{""text"": ""##i"", ""type"": ""ORG""}, {""text"": ""Cofinec"", ""type"": ""ORG""}, {""text"": ""Petofi"", ""type"": ""ORG""}, {""text"": ""Petofi"", ""type"": ""ORG""}, {""text"": ""##lo Sebesvari"", ""type"": ""PER""}, {""text"": ""Lasz"", ""type"": ""PER""}, {""text"": ""Petof"", ""type"": ""PER""}]",0
""" The Israelis have no right to prevent us from going to pray .","[{""text"": ""Israeli"", ""type"": ""MISC""}]",0
"MILWAUKEE , Wisconsin 1996-08-31","[{""text"": ""MILWAUKEE"", ""type"": ""LOC""}, {""text"": ""Wisconsin"", ""type"": ""LOC""}]",1
"AMT : 1,200,000 DATE : 09/05/96 NYC Time : 1600 CUSIP : 072261","[{""text"": ""NYC Time"", ""type"": ""MISC""}]",0
""" The people have asked us to establish order and that 's our main aim . """,[],1
"In the broader market , declining issues beat advances 1,627 to 743 on moderate volume of 321 million shares on the New York Stock Exchange .","[{""text"": ""New York Stock Exchange"", ""type"": ""ORG""}]",1
SAN DIEGO AT MONTREAL,"[{""text"": ""##ONTREAL"", ""type"": ""LOC""}, {""text"": ""M"", ""type"": ""LOC""}, {""text"": ""SAN DIEGO"", ""type"": ""ORG""}]",0
R. Ponting not out 46,"[{""text"": "". Ponting"", ""type"": ""PER""}, {""text"": ""R"", ""type"": ""PER""}]",0
"In Oakland , Dave Telgheder scattered seven hits over eight innings and Mark McGwire hit his major-league leading 45th homer and drove in three runs as the Athetlics blanked the Boston Red Sox 7-0 .","[{""text"": ""Oakland"", ""type"": ""LOC""}, {""text"": ""Athetlics"", ""type"": ""ORG""}, {""text"": ""Boston Red Sox"", ""type"": ""ORG""}, {""text"": ""Dave Telgheder"", ""type"": ""PER""}, {""text"": ""Mark McGwire"", ""type"": ""PER""}]",1
"Current air bags were designed to halt the forward momentum of an average-sized , unbelted adult male , not a small child .",[],1
WASHINGTON 1996-08-30,"[{""text"": ""WASHINGTON"", ""type"": ""LOC""}]",1
"Attendance : 6,000",[],1
Stirling 3 0 1 2 1 3 1,"[{""text"": ""Stirling"", ""type"": ""ORG""}]",1
"Sometimes I take more pride in that . """,[],1
6= Nele Zilinskiene ( Lithuania ) 1.91,"[{""text"": ""Lithuania"", ""type"": ""LOC""}, {""text"": ""##ele Zilinskiene"", ""type"": ""PER""}, {""text"": ""N"", ""type"": ""PER""}]",0
"Think of all that mixed together , with twisted , wrecked parts on the slope , "" Onarheim , 29 , told Reuters .","[{""text"": ""Reuters"", ""type"": ""ORG""}, {""text"": ""Onarheim"", ""type"": ""PER""}]",0
2. Michael Green ( Jamaica ) 10.09,"[{""text"": ""Jamaica"", ""type"": ""LOC""}, {""text"": ""."", ""type"": ""PER""}, {""text"": ""Michael Green"", ""type"": ""PER""}]",0
